player_name,age,nationality,club,league,position,market_value,goals,assists,minutes_played,passing_accuracy,tackles,interceptions,dribbles,cluster_id,cluster_label
Phil Dias,28,Brazil,Nice,Ligue 1,Midfielder,328.6,3.0,5.0,2569.0,82.7,45.7,56.4,25.1,1,Ball Winners
Kylian Donnarumma,18,Italy,Girona,La Liga,Forward,73.0,5.0,2.0,1147.0,75.2,1.7,6.2,11.4,3,Creative Playmakers
Dominik Donnarumma,20,England,Lazio,Serie A,Forward,282.0,14.0,9.0,3288.0,82.6,24.3,6.8,24.3,2,Clinical Finishers
Jeremie Kane,32,Egypt,Aston Villa,English Premier League,Winger,124.8,6.0,6.0,1421.0,76.0,21.6,10.3,64.0,3,Creative Playmakers
James Dias,25,Nigeria,Werder Bremen,Bundesliga,Winger,452.1,15.0,13.0,2743.0,79.9,28.8,23.7,99.3,0,Dynamic Wingers
Alex Jota,24,Spain,Newcastle,English Premier League,Defender,333.9,1.0,1.0,1562.0,89.9,33.6,41.5,1.8,4,Defensive Anchors
Teun Vlahović,33,Ireland,Brest,Ligue 1,Defender,66.0,3.0,5.0,2295.0,78.1,69.9,40.9,40.4,1,Ball Winners
Bruno Dias,27,Cameroon,Brest,Ligue 1,Midfielder,150.7,3.0,3.0,1263.0,85.6,22.4,26.8,21.8,4,Defensive Anchors
Ederson Osimhen,19,Germany,Rennes,Ligue 1,Forward,212.2,20.0,3.0,3093.0,75.4,24.7,6.7,24.3,2,Clinical Finishers
Erling Martínez,30,Spain,Lazio,Serie A,Winger,35.2,8.0,7.0,1879.0,81.6,12.5,6.4,46.0,0,Dynamic Wingers
Phil Oblak,34,Algeria,Freiburg,Bundesliga,Winger,57.8,7.0,4.0,2036.0,80.7,19.3,4.2,55.8,3,Creative Playmakers
Kylian Grealish,29,Algeria,Freiburg,Bundesliga,Midfielder,24.7,1.0,2.0,522.0,89.7,32.55,5.7,6.7,4,Defensive Anchors
Alejandro Salah,21,Denmark,Atletico Madrid,La Liga,Midfielder,74.9,1.0,1.0,546.0,83.1,16.4,7.3,7.8,4,Defensive Anchors
Joshua Ødegaard,33,Algeria,Aston Villa,English Premier League,Defender,67.9,2.0,4.0,1280.0,82.0,42.8,19.7,16.9,4,Defensive Anchors
Robert Valverde,18,Senegal,Leverkusen,Bundesliga,Defender,257.4,2.0,5.0,1843.0,80.4,63.6,52.4,24.5,1,Ball Winners
Hakan ter Stegen,26,Belgium,Aston Villa,English Premier League,Forward,113.6,5.0,2.0,797.0,78.4,6.1,3.1,13.0,3,Creative Playmakers
Pedri Kvaratskhelia,23,Portugal,Brest,Ligue 1,Winger,282.1,10.0,11.0,2199.0,79.5,22.8,11.5,55.4,0,Dynamic Wingers
Hakan Donnarumma,34,Croatia,Leipzig,Bundesliga,Winger,24.8,13.0,14.0,2546.0,77.6,25.7,14.8,117.5,0,Dynamic Wingers
Romelu Vlahović,20,Switzerland,Brighton,English Premier League,Midfielder,456.7,3.0,1.0,3013.0,83.9,120.9,73.0,20.3,1,Ball Winners
